year,stusps,fips,pop_tot,violent_arrest_per1000,pop_pct_pov
2016,AR,5111,24131,2.4052739905791993,22.115262824572515
2016,AR,5115,63107,2.1537494519889497,19.573163542035136
2016,AR,5117,8334,0.968493949055504,19.79192166462668
2016,AR,5119,391806,3.640658433464057,17.987731459303816
2016,AR,5121,17584,5.64433575978162,19.550404752198475
2016,AR,5125,115577,3.339764832103273,8.522333099999999
2016,AR,5127,10661,7.679861176249882,20.875165751089224
2016,AR,5131,127351,5.602625813696005,22.18109430462729
2016,AR,5133,17193,3.417088349909847,22.40414629836857
2016,AR,5137,12503,7.628169239382548,23.613465730201018
2016,AR,5141,16892,3.561843870865893,18.47149017728797
2016,AR,5143,219930,1.6185831855590418,18.97966397247685
2016,AR,5145,78823,1.2863675429406303,17.65972816780822
2016,AR,5149,21716,2.5036112107492903,17.481176635645138
2016,CA,61,1605217,0.8069781219610807,12.017484587523722
2016,CA,63,1184,16.680743243243242,18.88888888888889
2016,CA,65,36963,2.9708762816870924,11.174133276714487
2016,CA,67,223877,1.5916477946967902,21.26726454525062
2016,CA,69,44787,5.174492598298613,12.739385727190605
2016,CA,611,21361,3.241889424652404,13.517730499999999
2016,CA,613,1107925,0.4891651811569676,10.191728929623508
2016,CA,615,27628,5.124632015829352,21.735871059097917
2016,CA,617,183000,2.677595628415301,9.8357492
2016,CA,621,27976,4.042155180631017,20.253440325333134
2016,CA,623,135182,1.6098666982290541,20.9615895044174
2016,CA,625,178807,0.8269091414605853,24.09807522031864
2016,CA,627,18326,5.477190876350541,10.759064723822434
2016,CA,629,871337,1.0546770843734017,23.147880169457814
2016,CA,631,150261,2.771011772848577,21.59573826818168
2016,CA,633,64076,6.172357825082715,24.597315966678785
2016,CA,635,31945,6.2568477069964,16.191863110949303
2016,CA,639,153366,3.6144473568674504,22.0604333188756
2016,CA,641,259358,0.5675185503839335,8.0778348
2016,CA,643,17645,9.705298951544346,16.320100819155638
2016,CA,645,87409,2.9938278666956495,20.19278845594819
2016,CA,647,265001,1.688133791408873,24.222990211996105
2016,CA,649,9033,8.413594597586625,16.927291405090745
2016,CA,651,14051,3.7097003771973527,8.768656700000001
2016,CA,653,430201,0.7136586541329906,16.096595600019423
2016,CA,657,98639,1.6423524163870273,12.106178396072012
2016,CA,663,18754,12.197397888450464,12.775690246691717
2016,CA,669,58051,4.192434238858935,10.787576261785912
2016,CA,675,850282,2.8204172262849267,12.453365600000001
2016,CA,677,714860,2.032696961642839,17.76418788087912
2016,CA,679,278680,0.7589349791875987,14.16028892956771
2016,CA,681,754748,0.34497505229458153,7.6780687
2016,CA,685,1885056,0.4424536989882528,9.2782378
2016,CA,687,270931,1.5631286194639964,15.081675904165914
2016,CA,691,2931,5.373592630501536,11.337008959338387
2016,CA,695,429596,1.3056785577944992,12.721883598287986
2016,CA,697,497776,0.7486299058210922,11.220269188707029
2016,CA,6101,95406,6.0229440496404845,17.525357979416846
2016,CA,6105,13180,8.1752655538695,20.13593882752761
2016,CA,6107,455769,1.1258444519043638,28.26247890818307
2016,CA,6109,53864,5.072961532749146,14.225112000951512
2016,CA,6113,209671,1.550643627397208,19.30019549275089
2016,CA,6115,73897,3.3966196191996967,20.775642350347866
2016,CO,81,479977,1.1244679432556144,12.895207104203546
2016,CO,87,12355,3.905301497369486,11.212121212121213
2016,CO,89,3648,1.667580409356725,17.996026114107295
2016,CO,811,5816,5.244154057771664,25.24765729585007
2016,CO,814,62449,3.1785937324857083,5.906989481144993
2016,CO,819,9238,4.146751711159592,7.4493838000000006
2016,CO,823,3590,7.729805013927576,30.41782729805014
2016,CO,825,5537,4.785985190536392,34.11764705882353
2016,CO,827,4375,7.085714285714285,17.936802973977695
2016,CO,829,30221,1.4036945379563532,16.839422845139296
