year_range,fips_st,fips_cnty,deaths,exp_tot,exp_correction,exp_police,rev_tot,rev_gen_ownsource,rev_int_gov,rev_prop_tax,rev_tax,pop_tot,pop_wht,pop_blk,pop_lat,pop_pct_pov,pop_pct_deep_pov,pop_med_income,pop_pc_income,violent.yr,property.yr,murder.yr,ft_sworn,cbsa,metroname
2007-2011,29,091,0,55493720,162440,5567600,59456760,32924480.000000004,3565e3,1595879.9999999998,17227320,40088,38155,89,711,0.20701380430369468,0.073563743,44175,22389.44,117,372.0625,0.4375,15.75,NA,NA
2007-2011,29,093,1,6263240,0,1364e3,6564560,4822360,1108560,1867440,3436040,10661,10190,119,128,0.21882628649545943,0.061419783224294505,39715.96,22509.72,16.066666666666666,32.06666666666666,0,4.733333333333333,NA,NA
2007-2011,29,101,4,44574280,179800,9525680,47751159.99999999,40948520,5820560,4697120,24335e3,52428,46228,2347,1695,0.16443955679130182,0.076005312,58612.32,26402.079999999998,99.95,252.65,0.15000000000000002,19.2,NA,NA
2007-2011,29,103,2,2990880,0,488560,3816720,2470080,1080040,776240,1659120,4127,4025,31,32,0.22337278106508876,0.11070019723865877,42899.04,26946.44,5.625,56.25,0,2,NA,NA
2007-2011,29,121,0,34853920,0,1426e3,36212960,9875360,1629360,792360,6214880,15549,14734,405,152,0.13231382978723405,0.057912234,46982.36,24002.68,36.75,77.66666666666667,0,8.666666666666666,NA,NA
2007-2011,29,125,0,4451600,125240,616280,3894840,3436040,241800,912640,2677160,9192,8887,83,93,0.1535164835164835,0.055494505,52102.32,25286.079999999998,13.083333333333334,28.833333333333332,0,3.3333333333333335,NA,NA
2007-2011,29,127,2,50407240,161200,5026960,59113280,30469280,4889320,4096960,19125760,28623,26069,1497,423,0.14735910950573144,0.063285541,50734.6,27075.4,175.5,513,0.41666666666666663,19.333333333333336,NA,NA
2007-2011,29,129,0,4895519.999999999,26040,363320,4228400,1904639.9999999998,1227600,525760,1168080,3758,3659,21,36,0.1757412398921833,0.075202156,42705.6,24275.48,11.25,19.5,0,3,NA,NA
2007-2011,29,135,0,12298320,267840,1042839.9999999999,12778200,6283080,1083760,1521480,3852680,15541,13659,785,586,0.12378779235596121,0.047775242,63099.88,24083.28,24.666666666666668,51.5,0,5,27620,"Jefferson City, MO Metropolitan Statistical Area"
2007-2011,29,147,0,24354840,0,3236400,22199720,14395160,4896760,1636800,9612480,23185,21742,427,479,0.2561995597945708,0.10721447786744925,47963.2,23524.04,36.25,125.16666666666667,0.25,13.666666666666668,NA,NA
2007-2011,29,163,1,20584e3,163680,2673440,18912480,12755880,3459600,2491160,8394800,18561,16494,1240,353,0.14945351835932702,0.062139261,52422.24,23257.44,57.333333333333336,86,0.16666666666666666,8.666666666666666,NA,NA
2007-2011,29,165,1,121449319.99999999,894040,15709560,101587e3,91396680,6579440,8940400,51277720,88301,74860,4967,4295,0.071380371,0.042501115,82443.88,43298.32,42.15,91.425,0.1,14.700000000000001,28140,"Kansas City, MO-KS Metropolitan Statistical Area"
2007-2011,29,167,0,16762320,17360,4366040,18757480,14459640,2797440,1822800,1054e4,30952,29429,94,607,0.20329964527140085,0.049561609,47644.52,23442.2,88.75,172.25,0.1875,10.75,44180,"Springfield, MO Metropolitan Statistical Area"
2007-2011,29,169,1,41159320,1113520,4589240,43155720,22662240,3987840,2276640,13031160,50455,36613,5844,4471,0.14092147513865913,0.048725309,58179.56,25008.32,79.75,150.875,0.3333333333333333,9.5,NA,NA
2007-2011,29,171,0,2100560,231880,379440,2281600,1965400,308760,331080,1624400,5003,4783,21,111,0.19,0.047551020408163266,42849.44,25374.12,3,9.875,0,2.5,NA,NA
2007-2011,29,173,0,7306080,85560,779960,8041400,4519800,1413600,1819080,3417440,10169,9842,42,102,0.092644413,0.036478113,58634.64,28836.2,12.666666666666668,40.93333333333333,0,2.6,NA,NA
2007-2011,29,179,0,4983560,0,548080,4167640.0000000005,2105520,1998879.9999999998,806e3,1608280,6676,6394,64,78,0.2333749609740868,0.12706837339993757,41393.68,21774.4,17.625,27.5,0,4.5,NA,NA
2007-2011,29,181,0,5847840,266600,1453280,5801960,3613360,1939360,663400,2163800,14080,13819,30,152,0.2562670104569546,0.090101705,37445.52,18557.84,84.125,159.5,0.75,8,NA,NA
2007-2011,29,195,0,46662440,0,4470200,49928600,21759520,2715600,3675360,11766360,23178,19375,1326,1865,0.19481671725426103,0.074713986,49261.48,23856.36,57.11764705882353,116.82352941176471,0,11.588235294117647,NA,NA
2007-2011,29,197,0,2711880,84320,150040,2906560,1722360,977120,279e3,903960,4386,4215,50,17,0.24388555606829718,0.039224735,40748.88,22625.04,4,13.5,0,3,NA,NA
2007-2011,29,203,0,7420160,48360,360840,6601760,3813e3,1613240,509640,1726080,8428,7998,42,136,0.23286520225663185,0.093506182,39367.52,19957.8,10.3125,27.1875,0.125,2.75,NA,NA
2007-2011,29,205,0,19041440,0,776240,15826119.999999998,5057960,3055360,1319360,3235160,6389,6212,97,31,0.16100731112916328,0.053290008,43553.76,22887.92,12.444444444444445,38.888888888888886,0,4.222222222222222,NA,NA
2007-2011,29,209,0,46733120,755160,3362880,51373200,40251640,9021e3,19311760,33693280,32154,27785,34,542,0.19115558221015752,0.064360342,50925.56,26224.76,100.4,104.48,0.08,10.12,NA,NA
2007-2011,29,213,1,158013200,1258600,7783480,114913280,93633640,17906840,7658240,61646600,50631,43941,289,2379,0.16316220085907138,0.067784823,49748.8,27518.079999999998,196.95652173913044,311.1304347826087,0.13043478260869565,17.82608695652174,NA,NA
2007-2011,29,215,0,20812160,0,1866200,22090600,10671440,3946920,388120,5837920,25773,23796,886,423,0.20243186582809225,0.071404612,41078.72,21122.16,27.9,71.35000000000001,0.2,5.2,NA,NA
2007-2011,29,217,0,18339600,352160,2906560,18986880,12853840,3845240,1594640,8765560,20959,19970,163,328,0.21958055958756695,0.10135642424545772,46266.88,23006.96,179.25,390,0.5,16,NA,NA
2007-2011,29,219,0,25142240,1339200,4321400,28315400,23113600,2543240,2843320,16422560.000000002,32104,29821,580,924,0.12457413249211356,0.057823344,62225.68,31799.8,77.85000000000001,168.1,0.1,13.4,41180,"St. Louis, MO-IL Metropolitan Statistical Area"
2007-2011,29,223,0,9302480,254200,1109800,9348360,5922240,3147120,693160,3329400,13448,12992,23,45,0.21835705142685038,0.058881108,36370.44,22227,33.875,83.125,0,6,NA,NA
2007-2011,29,225,0,18752520,663400,2452720,20882840,14286039.999999998,3424880,2416759.9999999995,10153120,36027,34296,420,614,0.16124437353996923,0.07270241,51787.36,23199.16,66.125,126.8125,0.0625,9,44180,"Springfield, MO Metropolitan Statistical Area"
2007-2011,29,227,0,1727320,6200,143840,2013760,1091200,922560,518320.00000000006,863040,2178,2153,2,11,0.17213504517356157,0.059438897,49192.04,24067.16,8.5,24.5,0,2,NA,NA
2007-2011,29,510,26,1229787360,72690040,205501480,1348819920,828665960,259038480,93710520,559412360,318367,134206,156762,10748,0.25966934873092834,0.12588116491782267,42658.48,27342,13256.75,30315.75,148,1351,41180,"St. Louis, MO-IL Metropolitan Statistical Area"
2007-2011,30,001,0,11549360,240560,1525200,10998800,7456120,2587880,4801280,4850880,9170,8488,22,315,0.13802388199484897,0.057246546476235075,51120.24,27547.84,36.375,67.375,0,7,NA,NA
2007-2011,30,003,0,21393720,76880,2067080,23774520,15470240,7628480,8668840,8738280,12776,3966,1,523,0.2666399036531513,0.1291047771979125,46223.48,18385.48,165.5,152.5,0,8,NA,NA
2007-2011,30,005,0,13113e3,574120,1595879.9999999998,15307800,8575840,6078480,4793840,4847160,6476,3125,0,125,0.2780648191639267,0.13871927352434632,48014.04,21435.88,29.11111111111111,19.666666666666668,0,7.444444444444445,NA,NA
2007-2011,30,007,0,8295600,544360,996960,7975680,5903640,1940600,2550680,2739160,5447,5081,87,17,0.11320045129748026,0.028582174,55266.8,25675.44,46.5,101,0.25,9,NA,NA
2007-2011,30,009,0,15682280,17360,2255560,15652520,10933080,3731160,6817519.999999999,7891360,10016,9604,22,181,0.11414872998061817,0.038355605426910126,57280.56,32169.32,22.4375,29.5625,0.4375,4.5,13740,"Billings, MT Metropolitan Statistical Area"
2007-2011,30,011,0,5014560,0,572880,5412600,2473800,2812320,1569840,1655400,1266,1247,0,4,0.1338709677419355,0.07983871,43550.04,25846.56,1,3,0,3,NA,NA
2007-2011,30,013,0,126666e3,1625640,22807320,135518360,96543920,21225079.999999996,46755440,49231720,80931,70847,1037,2776,0.13842330806095798,0.057851764,54651.76,29206.96,496.75,1523.25,1.875,58.5,24500,"Great Falls, MT Metropolitan Statistical Area"
2007-2011,30,015,0,11287720,415400,979600,11859360,7510680,3722480,5387800,5405160,5784,4413,10,93,0.2024778761061947,0.084247788,50623,25675.44,15.75,22.625,0.25,6.5,NA,NA
2007-2011,30,017,0,18805840,0,3535240,20794800,14836600,4243280,6769160,6791480,11621,10963,57,232,0.14253996447602132,0.057992895,51302.52,28343.92,50.166666666666664,121.5,0.5,10.5,NA,NA
2007-2011,30,019,0,5146e3,8680,487320,4576840,3194240,1106080,2156360,2197280,1721,1606,0,4,0.14839094159713945,0.048271752085816445,46596.72,31615.04,8.333333333333334,4.333333333333334,0,3,NA,NA
2007-2011,30,025,0,15836039.999999998,74400,1009360,24575560,7128760,17103320,3746040,4006440,2861,2768,0,14,0.086785714,0.021428571,61470.52,33041.04,6,11.375,0,3,NA,NA
2007-2011,30,027,0,24121720,427800,2301440,20928720,13855760,5637040,8159200,8396039.999999998,11516,11012,10,165,0.16097995545657015,0.037861915,46625.24,29607.48,37.25,48.625,0,11.5,NA,NA
2007-2011,30,029,0,136309480,813439.9999999999,17146720,138273639.99999997,109344440,21252360,54525280,60039560,90317,84921,191,2111,0.12679273166963356,0.055520102,56529.12,31393.079999999998,256.375,700.875,0.875,28.5,NA,NA
2007-2011,30,031,0,160397720,4632640,18471040,154908240,117936400,28197600,52728520,63282159.99999999,89146,83219,369,2482,0.13150295857988165,0.054284023668639055,63724.84,34433.56,93.60714285714286,322.7857142857143,0.14285714285714285,20.571428571428573,NA,NA
2007-2011,30,033,0,4597920,2480,272800,3850200,2794960,948600,1455760,1538840,1162,1131,0,5,0.081952921,0.027898867,46500,27659.44,0.6666666666666666,1.6666666666666665,0,2,NA,NA
2007-2011,30,037,0,1717400,11160,183520,1499160,1104840,350920,876680,876680,873,826,0,3,0.2183507549361208,0.14634146341463414,44950,25250.12,2,4,0,2,NA,NA
2007-2011,30,039,0,9712920,0,876680,10412280,8161680,1980280,3246320,3253759.9999999995,3055,2951,0,42,0.11555111555111555,0.03996004,47341.96,32411.12,16.75,50.5,0,5,NA,NA
2007-2011,30,041,0,28076079.999999996,204600,3214080,29561600,20390560,6617880,11133960,11262920,16092,11740,64,386,0.1824952259707193,0.07829408,57937.76,26806.32,171.72727272727272,232.54545454545453,0.090909091,13.272727272727273,NA,NA
2007-2011,30,043,2,12804240,1240,2202240,12662880,9343400,2732960,5857760,5943320,11281,10628,45,212,0.078603014,0.030322173089071383,73512.16,35792.6,37.25,31.5,0,7,NA,NA
2007-2011,30,045,0,4090759.9999999995,24800,148800,3669160,2653600,952319.9999999999,2111720,2140240,2061,2032,0,17,0.11353711790393013,0.062590975,49657.04,29400.4,5.5,9.5,0,4,NA,NA
2007-2011,30,047,0,30671400,461280,4021320,33172480.000000004,25049240,6753040,14465840,14912240,28628,19638,48,1022,0.2319133830315939,0.08800142,47452.32,24999.64,110,144.05263157894737,0.3157894736842105,11.157894736842104,NA,NA
2007-2011,30,049,0,108084600,2943759.9999999995,13488720,111405319.99999999,83403640,20343440,40095400,41021680,62597,57956,259,1581,0.096765184,0.041153954,65785.72,33630.04,223.5,454.0833333333333,0.16666666666666666,31,NA,NA
2007-2011,30,055,0,4864519.999999999,0,368280,4606600,2876800,1500400,2163800,2186120,1815,1778,0,0,0.065927978,0.021052631578947368,62959.76,31209.56,4.75,15.75,0,4,NA,NA
2007-2011,30,059,0,4394560,0,622480,4224680,2925160,1093680,217e4,2205960,1900,1791,0,97,0.20204191295002688,0.050510478,41969.04,22502.28,11.75,18,0.25,4,NA,NA
2007-2011,30,061,0,6733200,380680,1001920,7368080,4728120,2375840,2574240,2585400,4193,3924,46,87,0.17009300048947626,0.059960841899167894,44963.64,23527.76,24.5,12.5,0,7,NA,NA
2007-2011,30,063,1,179191160,9390520,19238600,167236320,127640640,39107120,79068600,83959160,108431,98784,465,2894,0.1756553432082613,0.08400542,54429.8,31518.32,502.2,1310.9,0.9,62.6,33540,"Missoula, MT Metropolitan Statistical Area"
2007-2011,30,065,0,6045e3,52080,927520,6526120,4585519.999999999,1547520,3082640,3090080,4426,4247,10,103,0.16876574307304787,0.068468056,47949.56,27519.32,39.25,83,0.25,7,NA,NA
2007-2011,30,071,0,11303840,0,1603320,15036240,6150400,8432e3,2791240,2819759.9999999995,4227,3651,0,80,0.11209580838323353,0.03497006,48307.92,29561.6,57.75,52.5,0,9,NA,NA
2007-2011,30,073,0,21068840,91760,1621920,21990160,18405320,2590360,4228400,4311480,6165,5042,40,100,0.1841457410142787,0.10241260462826195,48176.48,26165.24,19.25,22.25,0,7,NA,NA
2007-2011,30,077,0,10123360,0,1497920,10213880,6736920,3038e3,3686520,3710080,7068,6462,36,128,0.13897280966767372,0.083170428,51270.28,22799.88,78.5,103.5,0,10,NA,NA
2007-2011,30,079,0,2744120,0,274040,2843320,1877360,965960,1056480,1093680,1093,1038,0,3,0.1431261770244821,0.062146892655367235,42705.6,27071.68,2.3333333333333335,3.6666666666666665,0,3,NA,NA
2007-2011,30,081,1,35087040,527e3,6331440,36002159.99999999,26301640,7989320,17978760,18917440,40199,37792,121,1194,0.1401254705144291,0.048858218,53954.88,30554.84,109.83333333333333,213.5,0,15,NA,NA
