fips,exp_police,pop_tot,ft_sworn,rev_prop_tax,violent.crimes,dissim_bw,dissim_wl
51071,3956040.0000000005,16871,6.5,15053820.000000002,17.708333333333332,23.28,23.14
51073,5322450.000000001,37021,81,38406000,512,46.89,32.17
51075,2925960,21979,32,31788180.000000004,95.5,51.64,44.88
51079,3403260,19085,27,18126300.000000004,215.5,32.03,31.39
51085,26340300.000000004,102199,119.5,141051030,448.25,51.64,44.88
51087,76736520,321921,196.33333333333331,389767620.00000006,1003,51.64,44.88
51093,6379170.000000001,36027,22.333333333333332,44978310.00000001,123.83333333333333,46.89,32.17
51095,13547550.000000002,71900,94,122852580.00000001,790.25,46.89,32.17
51097,1399710,7140,12,6157170.000000001,57.5,51.64,44.88
51101,3196800,16156,14.5,22738350.000000004,53,51.64,44.88
51107,88322700.00000001,362435,135,923898510.0000001,631.125,64.13,48.15
51109,5907420,34350,31,52510770.00000001,116.875,51.64,44.88
51115,1759350.0000000002,8848,12,11499600,30.75,46.89,32.17
51121,24055920.000000004,97227,68.75,87641160,282.1875,23.28,23.14
51125,3211230.0000000005,14831,13,22160040,81.5,32.03,31.39
51127,2509710,20051,28,25421220,206,51.64,44.88
51143,7408140,62392,49.800000000000004,33346620.000000004,377.9,37.33,26.38
51145,4498830.000000001,28286,36,38387130.00000001,113.5,51.64,44.88
51149,6703290.000000001,37664,51,31388580,302,51.64,44.88
51153,109751250.00000001,443630,133.52941176470588,674334990.0000001,1004.7647058823529,64.13,48.15
51155,7059600,34417,27,27271590.000000004,218.41666666666666,23.28,23.14
51161,24149160.000000004,93655,79.5,131516130,644.375,54.21,38.05
51165,9170820.000000002,78427,11.857142857142858,76921890.00000001,26.42857142857143,35.56,45.24
51169,4607610.000000001,22378,12.333333333333332,12546330.000000002,57.083333333333336,40.22,20.44
51177,18237300.000000004,129181,156,161541630,1214.75,64.13,48.15
51179,24693060,139548,148,194920440.00000003,1441.75,64.13,48.15
51187,17879880,38807,43,39815700.00000001,185.75,64.13,48.15
51191,11238750.000000002,54562,22,39486030.00000001,104.33333333333334,40.22,20.44
51199,10169820.000000002,66919,99,86772030.00000001,531.75,46.89,32.17
51510,74386650.00000001,151473,315,406525290.00000006,1501.25,64.13,48.15
51520,9796860,17340,54,15446760.000000002,365.5,40.22,20.44
51540,18065250,45538,115,64130250.00000001,1029,32.03,31.39
51550,43994850.00000001,233194,376,329927520,5090,46.89,32.17
51570,4073700.0000000005,17554,50,23759550.000000004,221,51.64,44.88
51600,11990220.000000002,23620,63,68185080,311.25,64.13,48.15
51610,6983010,13597,33,49543740.00000001,86.25,64.13,48.15
51630,7940940.000000001,27853,47.285714285714285,37697820,475.85714285714283,64.13,48.15
51650,29857890.000000004,136789,121.5,162173220,1121.125,46.89,32.17
51660,8654670,51979,56,35719800,362.375,35.56,45.24
51670,5639910.000000001,22332,53,26065020.000000004,659.75,51.64,44.88
51680,19103100.000000004,78755,164,77434710,2273.75,36.19,25.45
51683,14760780,41149,91,70504980.00000001,744.25,64.13,48.15
51685,3977130.0000000005,15827,31,22681740,148.75,64.13,48.15
51700,51226500.00000001,181606,215.5,254581830.00000003,2140.875,46.89,32.17
51710,75720870.00000001,245724,196,280737870.00000006,1065.65,46.89,32.17
51730,13034730.000000002,31997,41,37061790,301.8333333333333,51.64,44.88
51735,2228880,12068,22,17988660,129.75,46.89,32.17
51740,39057570.00000001,96071,235,130512690.00000001,2717,46.89,32.17
51750,3993780,17186,27,8418240.000000002,183.25,23.28,23.14
51760,102192150.00000001,216773,191.71428571428572,291615870.00000006,793.25,51.64,44.88
51770,25537770,99329,136,117489060.00000001,2447.875,54.21,38.05
51775,7094010,25290,66,36052800,340,54.21,38.05
51800,22662870.000000004,87061,171,109703520,2155.75,46.89,32.17
51810,99078600,449733,813,604160790,6424.5,46.89,32.17
51830,4380060,14988,27,12903750.000000002,90.125,46.89,32.17
53003,4031520.0000000005,22113,9.333333333333332,7102890,90.41666666666667,23.94,15.58
53005,36738780.00000001,187519,46.4,58631310.00000001,421.15,29.52,46.16
53011,68316060.00000001,450893,52.375,178695570,509.5625,40.9,34.26
53015,25393470,102854,24.666666666666668,40755870,253.66666666666666,23.19,30.67
53021,12627360,87810,33.333333333333336,20506140.000000004,321.25,29.52,46.16
53035,40682610,257488,37.857142857142854,86879700.00000001,393.82142857142856,36.74,19.35
54005,6386940.000000001,23645,18,13756230.000000002,42.4,56.85,27.9
54011,21676080,96623,28.88888888888889,35881860,156.83333333333334,50.32,25.47
54027,3718500.0000000005,23455,10.428571428571429,6993000.000000001,45.42857142857143,34.4,39.67
54037,14116980.000000002,55531,12.388888888888888,14887320.000000002,35.888888888888886,64.13,48.15
54039,44764080,189636,38.09756097560976,71935770,335.5853658536585,56.85,27.9
54043,1006770.0000000001,21482,3,4073700.0000000005,10.799999999999999,56.85,27.9
54051,5636580.000000001,32296,12.647058823529413,13140180,74.29411764705883,49.23,21.6
54057,4484400.000000001,27606,8.666666666666666,7101780.000000001,46.583333333333336,51.87,34.66
54065,2636250.0000000005,17514,11,4190250,69.25,39.32,24.46
54069,16536780.000000002,43257,36.07692307692308,16804290,187.3846153846154,49.23,21.6
54073,974580,7612,6,3766230.0000000005,8.5,33.19,19.1
54077,2575200.0000000005,33793,9.375,6245970,33.25,35.8,28.75
54105,12210,5826,2,63270,10.75,33.19,19.1
54107,13462080.000000002,86262,32.733333333333334,21946920.000000004,193.4,33.19,19.1
55009,82530720,256621,49.090909090909086,193898130,207.72727272727272,46.41,52.08
55015,8432670,49653,11,27446970,30.1875,33.93,24.86
55021,16211550.000000002,56650,14.56,46174890.00000001,57.48,46.49,40.14
55035,36176010,101907,28,64582020.00000001,95.95833333333333,33.88,19.08
55049,6052830.000000001,23751,6.833333333333333,17980890.000000004,17.291666666666668,46.49,40.14
55059,61757070.00000001,167896,63.826086956521735,159997620.00000003,277.30434782608694,58.87,54.82
55079,455070030,955306,156.36144578313252,859966950.0000001,877.8795180722891,79.61,57.03
55087,47500230,181799,30.777777777777775,139757880,130.02777777777777,33.93,24.86
55089,26446860,87625,28.571428571428573,70383990,16.178571428571427,79.61,57.03
55101,81586110,194873,74.33333333333333,161952330.00000003,273,51.99,45
56025,23394360,80871,39,29653650,197.1875,20.63,18.13
