year_range,fips_st,fips_cnty,deaths,exp_tot,exp_correction,exp_police,exp_welfare,rev_tot,rev_fines,rev_gen_ownsource,rev_int_gov,rev_prop_tax,rev_tax,pop_tot,pop_pct_men_15_34,pop_wht,pop_blk,pop_ami,pop_api,pop_lat,pop_pct_pov,pop_pct_deep_pov,pop_med_income,pop_pc_income,violent.yr,property.yr,murder.yr,ft_sworn,cbsa,metroname,dissim_bw,dissim_wl
2012-2016,28,045,1,192419610.00000003,24061470,8616930,204240,191366220.00000003,1006770.0000000001,97759920.00000001,89138550,23966010.000000004,25702050.000000004,46028,0.12342487181715478,39207,4407,17,101,1694,0.1853590376176233,0.0822435211667358,51661.62,25775.31,285.6666666666667,407.8333333333333,1.1666666666666665,36.66666666666667,25060,"Gulfport-Biloxi, MS Metropolitan Statistical Area",40.58,30.65
2012-2016,28,047,3,904398030,26129400,64611990.00000001,2931510,895413690.0000001,8158500.000000001,631293630,227137080.00000003,123498600,156494460.00000003,198570,0.14561111950445688,128944,47258,959,5678,10569,0.21015687372339212,0.10179165759432642,47835.450000000004,24993.870000000003,891.5,1493.75,1.9000000000000001,93.60000000000001,25060,"Gulfport-Biloxi, MS Metropolitan Statistical Area",40.58,30.65
2012-2016,28,049,7,391972080,22894860,56749860.00000001,2554110,411046320.00000006,7454760,261511560.00000003,110617050,148394790,165256800.00000003,244596,0.1459426973458274,62951,174477,279,2128,3716,0.255269835899171,0.12195060057519878,43038.030000000006,24055.920000000002,591.3461538461538,1725.8846153846155,9.076923076923077,123.92307692307692,27140,"Jackson, MS Metropolitan Statistical Area",55.77,42.92
2012-2016,28,051,3,27877650,2761680.0000000005,4133640.0000000005,280830.00000000006,26764320.000000004,535020.0000000001,15241410.000000002,6975240.000000001,7541340.000000001,8035290.000000001,18547,0.13942955734080983,2920,15393,17,54,58,0.45002516919290786,0.2655629509480396,23088.000000000004,13772.880000000001,11.5,17,0.5,8,NA,NA,NA,NA
2012-2016,28,053,1,16996320,247530.00000000003,1985790.0000000002,43290.00000000001,14912850.000000002,172050,9872340,4116990.0000000005,7132860.000000001,7442550.000000001,8822,0.12672863296304693,1895,6698,9,9,237,0.42514626591717336,0.18286107605827692,26020.620000000003,15514.470000000001,23.5,8,0,10,NA,NA,NA,NA
2012-2016,28,057,0,27935370.000000004,451770.00000000006,2442e3,53280,27633450,468420,13626360,8359410,6751020,7178370.000000001,23511,0.13372463953043257,21366,1608,1,64,338,0.2024684756939803,0.0571224880809161,39271.8,21874.77,154.75,163.625,0.25,10.5,NA,NA,NA,NA
2012-2016,28,061,0,30678180.000000004,773670.0000000001,2247750,48840,34544310.00000001,421800,23978220,9278490.000000002,10840260,11485170.000000002,16538,0.11863586890796952,7541,8859,1,4,54,0.22084066234002547,0.10426396554861406,38842.23,21492.93,5,11,0,5,NA,NA,NA,NA
2012-2016,28,063,0,29391690.000000004,3587520.0000000005,1842600.0000000002,4629810,33288900,374070.00000000006,30132060,2738370.0000000005,3885000.0000000005,4296810,7528,0.16923485653560041,993,6488,0,37,10,0.39700691797261045,0.12890018353804886,26388.030000000002,15210.330000000002,44.33333333333333,32.333333333333336,0,8,NA,NA,NA,NA
2012-2016,28,065,0,25870770.000000004,235320.00000000003,1895880,19980,24841800.000000004,243090.00000000003,18907740,5425680,5081580.000000001,5270280.000000001,11771,0.11587800526718206,4501,7209,0,0,40,0.34663320062316083,0.17387917604292885,29336.190000000002,18713.49,75,180,3,14,NA,NA,NA,NA
2012-2016,28,067,0,236693070,1932510.0000000002,9800190,3303360,222670440.00000003,2288820,180218490.00000003,37091760,26991870.000000004,29952240,68313,0.1289798427824865,44406,19807,204,378,2891,0.2371013799393006,0.11858806644041443,42009.060000000005,23262.27,437.5,757.375,1.875,44.5,NA,NA,NA,NA
2012-2016,28,069,0,15593280,4848480.000000001,1334220,84360.00000000001,15172590.000000002,307470,6566760,8080800.000000001,4716390,4901760,10128,0.14395734597156398,3445,6106,379,0,151,0.29926135129263526,0.1278514012600478,33216.75,16333.650000000001,44,72.5,0,8,NA,NA,NA,NA
2012-2016,28,073,1,43228950.00000001,2308800,9903420,328560,42608460.00000001,933510.0000000001,33048030.000000007,8810070.000000002,27329310,28489260.000000004,59623,0.14288110293007733,44600,11863,85,848,1468,0.16099620092866188,0.08601097509497678,59815.68000000001,31192.110000000004,95.8,507.4,0.4,32,25620,"Hattiesburg, MS Metropolitan Statistical Area",49.26,39.08
2012-2016,28,075,3,97946400.00000001,2428680.0000000005,15355740.000000002,0,109645800,2534130,76404630,25137060,46578930.00000001,50873520.00000001,79233,0.1383893074855174,42156,33691,118,660,1709,0.2310549679254976,0.0833146726029743,42622.89000000001,23948.250000000004,380.25,1378.375,5.125,75,NA,NA,NA,NA
2012-2016,28,079,0,36058350.00000001,3356640.0000000005,2829390.0000000005,4440,35480040,568320,26582280.000000004,7162830.000000001,7153950.000000001,7942050.000000001,23011,0.13702142453609142,10985,9618,1333,74,987,0.27099013024471585,0.1278110775609536,36249.270000000004,20177.58,9.25,45,0.25,14,NA,NA,NA,NA
2012-2016,28,081,2,203679450,2268840,21116640.000000004,632700,198233790,2514150,72064530.00000001,49988850.00000001,39239610,41945790,85281,0.12664016603932882,56962,24326,166,674,2062,0.18457644038790644,0.05439484692907397,47978.64000000001,25242.510000000002,328.625,347,0,25.5,NA,NA,NA,NA
2012-2016,28,083,0,249066240.00000003,12234420.000000002,9637020,133200.00000000003,241130850.00000003,771450,176591010,24759660.000000004,19774650,21532890.000000004,30500,0.13701639344262295,7138,22219,0,251,761,0.40417053145075404,0.24758665704764848,28145.160000000003,17060.7,474.375,589.75,1,34,NA,NA,NA,NA
2012-2016,28,085,1,39029820.00000001,84360.00000000001,6419130.000000001,17760,37614570,1045620.0000000001,22713930,12569640.000000002,14210220.000000002,15652110,34691,0.12233720561528927,23316,10688,6,242,349,0.2546461863164683,0.11326728029547986,40237.5,21553.980000000003,100.5,263.5,0.5,24.666666666666668,NA,NA,NA,NA
2012-2016,28,089,3,178299300.00000003,4748580.000000001,23223420.000000004,390720,167745420,3862800,109233990,31875870.000000004,65969520.00000001,73707330,101791,0.12805650794274542,56854,38863,169,2472,2806,0.12691824150386144,0.06532497854762427,73175.64,39332.850000000006,145.5,411.5,1.1666666666666665,60.66666666666667,27140,"Jackson, MS Metropolitan Statistical Area",55.77,42.92
2012-2016,28,091,1,47357040,6016200.000000001,4693080.000000001,0,44260140.00000001,511710.00000000006,35500020.00000001,8252850,9699180,10490610,25810,0.1266175900813638,16797,8323,62,108,362,0.2734031497321928,0.10016787912702854,34314.54,21874.77,48.25,224.75,1.125,18.5,NA,NA,NA,NA
