year,race,sex,age,pop
1992,asian,Male,1-4,272493
1992,asian,Male,10-14,313678
1992,asian,Male,15-19,324045
1992,asian,Male,20-24,377170
1992,asian,Male,25-29,381488
1992,asian,Male,30-34,387218
1992,asian,Male,35-39,345539
1992,asian,Male,40-44,295095
1992,asian,Male,45-49,211306
1992,asian,Male,5-9,322332
1992,asian,Male,50-54,165626
1992,asian,Male,55-59,123730
1992,asian,Male,60-64,101985
1992,asian,Male,65-69,85140
1992,asian,Male,70-74,60501
1992,asian,Male,75-79,39761
1992,asian,Male,80-84,22325
1992,asian,Male,85+,13173
1992,black,Female,0,315038
1992,black,Female,1-4,1204325
1992,black,Female,10-14,1357517
1992,black,Female,15-19,1315495
1992,black,Female,20-24,1370413
1992,black,Female,25-29,1455306
1992,black,Female,30-34,1480058
1992,black,Female,35-39,1323466
1992,black,Female,40-44,1108290
1992,black,Female,45-49,791646
1992,black,Female,5-9,1376295
1992,black,Female,50-54,668583
1992,black,Female,55-59,585369
1992,black,Female,60-64,557403
1992,black,Female,65-69,500866
1992,black,Female,70-74,397720
1992,black,Female,75-79,307686
1992,black,Female,80-84,197600
1992,black,Female,85+,167928
1992,black,Male,0,322244
1992,black,Male,1-4,1233019
1992,black,Male,10-14,1387474
1992,black,Male,15-19,1342227
1992,black,Male,20-24,1309404
1992,black,Male,25-29,1322632
1992,black,Male,30-34,1301831
1992,black,Male,35-39,1149464
1992,black,Male,40-44,950942
1992,black,Male,45-49,664797
1992,black,Male,5-9,1411196
1992,black,Male,50-54,549550
1992,black,Male,55-59,465182
1992,black,Male,60-64,424684
1992,black,Male,65-69,363945
1992,black,Male,70-74,262389
1992,black,Male,75-79,179444
1992,black,Male,80-84,100331
1992,black,Male,85+,68984
1992,latino,Female,0,269881
1992,latino,Female,1-4,910689
1992,latino,Female,10-14,947450
1992,latino,Female,15-19,917245
1992,latino,Female,20-24,986171
1992,latino,Female,25-29,1037384
1992,latino,Female,30-34,958591
1992,latino,Female,35-39,788849
1992,latino,Female,40-44,636145
1992,latino,Female,45-49,465286
1992,latino,Female,5-9,1008617
1992,latino,Female,50-54,374477
